ORDEN_CARGA,ESTADO_CARGA_CNED,OBSERVACION_CARGA,SEDE,TIPO_CARRERA_PROGRAMA,NOMBRE_PROGRAMA,MENCION_ESPECIALIDAD,ANIO_INICIO_ACTIVIDADES,CAMPUS,HORARIO,ESTADO_CARRERA_PROGRAMA,TIPO_PROGRAMA,DETALLE_TIPO_PROGRAMA_ESPECIAL,MODALIDAD_PROGRAMA,AREA_CONOCIMIENTO,SUBAREA,CARRERA_GENERICA,TITULO_OTORGA_PROGRAMA,GRADO_ACADEMICO_OTORGA_PROGRAMA,DEPENDENCIA,REGIMEN,DURACION_PROGRAMA_SEMESTRES,INGRESO_DIRECTO,INGRESO_DESDE_PLAN_COMUN,INGRESO_DESDE_BACHILLERATO,OTRO_TIPO_INGRESO,INGRESO_OTRO_DESCRIPCION,OBSERVACIONES,COD_CARR_REFERENCIA,CODIGO_SIES_REFERENCIA,NIVEL_PREGRADO_POSGRADO,MODALIDAD_ORIGINAL,TIPO_PROGRAMA_ORIGINAL,ESPECIAL_ORIGINAL,TRAZABILIDAD_ORIGEN,MOTIVO_TRAZABILIDAD,ALERTA_MANUAL,FUENTE_ORIGEN
23,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería Industrial (P.E.),,2025,República,Otro horario,Nuevas,Especial,Continuidad (o articulación) de estudios,No presencial,Tecnología,,Ingeniería Ejecución Industrial y similares,Ingeniero Industrial,,,Semestral,4,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53723,I162S2C87J4V1,Pregrado,No presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
24,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Administración Pública,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,Técnico en Administración Pública,Técnico Nivel Sup. en Administración Pública,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53720,I162S2C84J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
25,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Ciencia de Datos,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Técnico en Computación e Informática,Técnico Nivel Sup. en Ciencia de Datos,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53719,I162S2C89J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
26,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Contabilidad General,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,"Técnico en Contabilidad, Auditoría y similares",Técnico Nivel Sup. en Contabilidad General,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53718,I162S2C85J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
27,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Enfermería,,2025,República,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Salud,,Técnico en Enfermería y Similares,Técnico Nivel Sup. en Enfermería,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,53725,I162S2C91J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
28,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Enfermería,,2025,República,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Salud,,Técnico en Enfermería y Similares,Técnico Nivel Sup. en Enfermería,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,53726,I162S2C91J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
29,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Ciberseguridad,,2019,República,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Sup. en Ciberseguridad,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,40717,I162S2C47J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
30,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Ciberseguridad,,2019,República,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Ciberseguridad,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,40713,I162S2C46J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
31,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Administración de Empresas,,2024,,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Administración y Comercio,,"Ingeniería en Administración, Administración de Empresas y similares",Ingeniero en Administración de Empresas,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51503,I162S2C76J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
32,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Administración de Empresas,,2024,,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Administración y Comercio,,"Ingeniería en Administración, Administración de Empresas y similares",Ingeniero en Administración de Empresas,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51504,I162S2C76J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
33,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Ciberseguridad,,2019,República,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Sup. en Ciberseguridad,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,40711,I162S2C47J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
34,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Ciberseguridad,,2019,República,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Ciberseguridad,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,40714,I162S2C46J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
35,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Conectividad y Redes (P.E.),,2019,República,Otro horario,Nuevas,Especial,Continuidad (o articulación) de estudios,No presencial,Tecnología,,Ingeniería en Conectividad y Redes,Ingeniero en Conectividad y Redes,,,Semestral,4,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,42539,I162S2C3J4V3,Pregrado,No presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
36,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática,,2015,República,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniería en Informática,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,32514,I162S2C1J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
37,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Conectividad y Redes,,2002,,Vespertino,Nuevas,Regular,,,Tecnología,,Ingeniería en Conectividad y Redes,Ingeniero en Conectividad y Redes,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,6680,I162S2C3J2V4,Pregrado,,Programa Regular,,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Modalidad vacía; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
38,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática (P.E.),,2016,República,Vespertino,Nuevas,Especial,Continuidad (o articulación) de estudios,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero (a) en Informática,,,Semestral,5,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear,34525,I162S2C1J2V3,Pregrado,Presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
39,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática,,2015,República,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniería en Informática,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,32510,I162S2C1J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
40,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Conectividad y Redes (P.E.),,2016,República,Vespertino,Nuevas,Especial,Continuidad (o articulación) de estudios,Presencial,Tecnología,,Ingeniería en Conectividad y Redes,Ingeniero (a) en Conectividad y Redes,,,Semestral,5,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear,34541,I162S2C3J2V3,Pregrado,Presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
41,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Conectividad y Redes,,2017,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Técnico en Administración de Redes Computacionales,Técnico Nivel Sup. en Conectividad y Redes,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,36744,I162S2C6J4V2,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
42,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Logística,,2024,,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Ingeniería en Logística y similares,Ingeniero en Logística,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51508,I162S2C77J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
43,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Logística,,2024,,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Ingeniería en Logística y similares,Ingeniero en Logística,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,51509,I162S2C77J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
