ID_REGLA	PROCESO	SUBPROCESO	ANIO_PROCESO	ANIO_DATOS	PERIODO	SECCION_INSTRUCTIVO	PAGINA	CAMPO_O_TEMA	REGLA_OFICIAL	TIPO_REGLA	NIVEL_RESPALDO	FUENTE	IMPLEMENTACION_REQUERIDA	VALIDACION_REQUERIDA	SEVERIDAD	ESTADO	OBSERVACIONES
AC2026-MAT-CAMPO-11	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	ANIO_INGRESO_CARRERA_ACTUAL	ANIO_INGRESO_CARRERA_ACTUAL: Año en que cada estudiante ingresó a la carrera actual. Campo no modificable. Dominio: Año calendario; no mayor a 2025 según Anexo V.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-12	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	SEM_INGRESO_CARRERA_ACTUAL	SEM_INGRESO_CARRERA_ACTUAL: Semestre de ingreso a la carrera actual. Campo no modificable. Dominio: 1 Primer Semestre; 2 Segundo Semestre.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-13	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	ANIO_INGRESO_CARRERA_ORIGEN	ANIO_INGRESO_CARRERA_ORIGEN: Año de ingreso al primer año del plan de estudios de la carrera de origen. Campo no modificable. Dominio: Año calendario; no mayor a 2025 según Anexo V.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-14	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	SEM_INGRESO_CARRERA_ORIGEN	SEM_INGRESO_CARRERA_ORIGEN: Semestre de ingreso a la carrera de origen o primer año. Campo no modificable. Dominio: 1 Primer Semestre; 2 Segundo Semestre.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-15	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	CURSO_1ER_SEM	CURSO_1ER_SEM: Indica si cursó actividades académicas durante el primer semestre 2025. Campo modificable. Dominio: SI; NO.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-16	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	CURSO_2DO_SEM	CURSO_2DO_SEM: Indica si cursó actividades académicas durante el segundo semestre 2025. Campo modificable. Dominio: SI; NO.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-17	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	UNIDADES_CURSADAS	UNIDADES_CURSADAS: Unidades cursadas efectivamente durante 2025 pertenecientes al plan informado. Campo modificable. Dominio: Números; no incluye validación o reconocimiento en avance anual.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-18	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	UNIDADES_APROBADAS	UNIDADES_APROBADAS: Unidades aprobadas efectivamente durante 2025 pertenecientes al plan informado. Campo modificable. Dominio: Números; no incluye validación o reconocimiento en avance anual.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-19	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	UNID_CURSADAS_TOTAL	UNID_CURSADAS_TOTAL: Unidades cursadas desde ingreso hasta cierre de 2025. Campo modificable. Dominio: Números; puede incluir validación o reconocimiento según instructivo.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-20	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	UNID_APROBADAS_TOTAL	UNID_APROBADAS_TOTAL: Unidades aprobadas desde ingreso hasta cierre de 2025. Campo modificable. Dominio: Números; límite de referencia es total del plan con tolerancia de 25%.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-21	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	VIGENCIA	VIGENCIA: Variable para mantener o eliminar un registro cargado en este proceso. Campo modificable. Dominio: 0 Eliminar registro; 1 Mantener registro.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-01	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Uno o más atributos no modificables han sido editados con respecto a la precarga.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-02	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Los valores permitidos para VIGENCIA son 0 y 1.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-03	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Para TIPO_UNIDAD_MEDIDA 3 debe especificar la unidad de medida que utiliza.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-04	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Campo OTRA_UNIDAD_MEDIDA se completa solo si TIPO_UNIDAD_MEDIDA es 3.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-05	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	TOTAL_UNIDADES_MEDIDA no coincide con la suma de las unidades ingresadas por año.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-06	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Tipo de unidad de medida puede ser 1, 2 o 3.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-VAL-07	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo IV	21	Validación Carreras	Distribución de unidades de medida no coincide con duración de la carrera.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-01	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Cantidad total de unidades aprobadas es excesivamente superior al número total de unidades de la carrera.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-02	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Uno o más atributos no modificables han sido editados respecto a la precarga.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-03	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Los valores permitidos para CURSO_1ER_SEM son SI y NO.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-04	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Los valores permitidos para CURSO_2DO_SEM son SI y NO.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-05	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Cantidad de unidades aprobadas total no puede ser mayor a las unidades cursadas.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-06	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Cantidad de unidades aprobadas en 2025 no puede ser mayor a las unidades cursadas.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-07	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Combinación CODIGO_UNICO + PLAN_ESTUDIOS ingresado no existe en la carga de carreras.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-08	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Si campos CURSO_1ER_SEM y CURSO_2DO_SEM se informan como NO, UNIDADES_CURSADAS debe ser 0.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-VAL-09	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo V	22	Validación Matrícula	Los valores permitidos para VIGENCIA son 0 y 1.	VALIDACION_EXPLICITA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar como validación de control antes de PES.	Registrar errores por fila/campo sin corregir automáticamente.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-AMB-001	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo III	17	Año nombrado en texto de combinación	El texto de Anexo III menciona combinaciones para carga Carreras Avance Curricular 2025 y Matrícula Avance Curricular Matrícula 2025, dentro de un proceso e IDs 2026.	AMBIGUEDAD	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	No cambiar año del proceso; conservar evidencia textual.	Documentar como ambigüedad de redacción no resuelta por código.	MEDIA	PENDIENTE	Debe revisarse si la plataforma muestra nomenclatura distinta; no bloquea la fase 00-03.
AC2026-VAC-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	Total y distribución de unidades	El instructivo exige tipo, total y distribución de unidades, pero la fuente institucional definitiva no se identifica en el instructivo.	VACIO_OPERATIVO	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Requerir catálogo/mallas/planes institucionales.	Bloquear salida PES si falta fuente institucional.	ALTA	PENDIENTE	NO_APLICA
