RUTA	NOMBRE	EXTENSION	TAMANO_BYTES	FECHA_MODIFICACION	ESTADO_GIT	CLASIFICACION	CONTIENE_DATOS_PERSONALES_POTENCIAL	OBSERVACIONES
resultados/VERIFICACION_ESTUDIANTES_EXCLUIDOS_PES_READY_20260507_130534.xlsx	VERIFICACION_ESTUDIANTES_EXCLUIDOS_PES_READY_20260507_130534.xlsx	.xlsx	183025	2026-05-07T13:05:35.307423-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_consolidacion_codcli.tsv	auditoria_consolidacion_codcli.tsv	.tsv	3333652	2026-05-08T23:09:00.651236-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/RUN_STATUS_EXCLUSIONES_MULTI_CARRERA.json	RUN_STATUS_EXCLUSIONES_MULTI_CARRERA.json	.json	905	2026-04-09T09:07:14.540238-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/debug_pendientes_sies_no_resolubles.tsv	debug_pendientes_sies_no_resolubles.tsv	.tsv	12812	2026-04-22T11:02:05.318807-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_correccion_pes_20260507_122114.csv	auditoria_correccion_pes_20260507_122114.csv	.csv	404795	2026-05-07T12:21:14.804000-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/verificacion_exclusiones_pes_ready_20260508_230900.csv	verificacion_exclusiones_pes_ready_20260508_230900.csv	.csv	7025	2026-05-08T23:09:00.553679-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_control.csv	matricula_unificada_2026_control.csv	.csv	513909	2026-05-08T23:09:01.412272-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/CODCLI_EXCLUIDOS_UNICOS_AUDITORIA_RUT_CODCLI_2026P1_20260507_223158.csv	CODCLI_EXCLUIDOS_UNICOS_AUDITORIA_RUT_CODCLI_2026P1_20260507_223158.csv	.csv	24768	2026-05-07T22:32:54.855812-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_REINCORPORAR_95_CODCLI_PARA_SUBIR.csv	matricula_unificada_2026_REINCORPORAR_95_CODCLI_PARA_SUBIR.csv	.csv	11594	2026-05-08T23:50:21.025025-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/comparacion_versiones 2.md	comparacion_versiones 2.md	.md	872	2026-06-26T00:47:07.980615-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_riesgo_no_subir_95_codcli.xlsx	auditoria_riesgo_no_subir_95_codcli.xlsx	.xlsx	11346	2026-05-08T23:54:37.453091-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/reporte_matricula.json	reporte_matricula.json	.json	4865	2026-06-26T00:47:07.984305-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_multi_codcli_revision_98_casos.xlsx	auditoria_multi_codcli_revision_98_casos.xlsx	.xlsx	15167	2026-05-08T23:38:50.933073-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/RUN_STATUS_FIX_FOR2_VS11.json	RUN_STATUS_FIX_FOR2_VS11.json	.json	2285	2026-04-09T09:07:14.542431-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/comparacion_versiones.md	comparacion_versiones.md	.md	872	2026-05-08T23:09:02.809135-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/diccionario_columnas.md	diccionario_columnas.md	.md	2235	2026-05-08T23:09:02.809485-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_multi_codcli_end_to_end_mu2026.csv	auditoria_multi_codcli_end_to_end_mu2026.csv	.csv	39701	2026-05-08T23:38:05.661063-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/revision_post_patch_sies_ruts_muestra.tsv	revision_post_patch_sies_ruts_muestra.tsv	.tsv	505923	2026-04-22T12:33:03.498634-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/reconciliacion_66_a_54_postgrado.xlsx	reconciliacion_66_a_54_postgrado.xlsx	.xlsx	41830	2026-05-21T21:57:53.600889-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_pregrado_CORREGIDA_PES_20260507_122114.csv	matricula_unificada_2026_pregrado_CORREGIDA_PES_20260507_122114.csv	.csv	429307	2026-05-07T12:21:14.787488-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo.csv	matricula_unificada_2026_postgrado_postitulo.csv	.csv	4944	2026-05-21T21:37:00.751078-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/ruts_reales_ambiguos_ok_carga.tsv	ruts_reales_ambiguos_ok_carga.tsv	.tsv	8857	2026-04-22T11:58:26.297752-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_puente_sies_clasificacion_ambiguos.tsv	auditoria_puente_sies_clasificacion_ambiguos.tsv	.tsv	28247	2026-04-22T10:32:24.005128-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/checklist_terminal_carreras_mu2026_20260508_230900.csv	checklist_terminal_carreras_mu2026_20260508_230900.csv	.csv	2001	2026-05-08T23:09:00.765250-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/MU2026_CIERRE_AUDITORIA_SUBIDAS_REALIZADAS_4165_TRAZABILIDAD_RESUMEN 2.md	MU2026_CIERRE_AUDITORIA_SUBIDAS_REALIZADAS_4165_TRAZABILIDAD_RESUMEN 2.md	.md	2927	2026-05-11T13:42:49-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_pregrado_CORREGIDA_PES_FINAL_SIN_RECHAZOS_20260507_122952.csv	matricula_unificada_2026_pregrado_CORREGIDA_PES_FINAL_SIN_RECHAZOS_20260507_122952.csv	.csv	424357	2026-05-07T12:29:52.260175-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/pipeline_error.log	pipeline_error.log	.log	857	2026-04-09T09:07:14.548984-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_avance_curricular_2025_pes_ready.csv	matricula_avance_curricular_2025_pes_ready.csv	.csv	274202	2026-05-08T23:09:02.641756-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_control.csv	matricula_unificada_2026_postgrado_postitulo_control.csv	.csv	12281	2026-05-21T21:37:00.750151-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_CON_TITULOS.csv	matricula_unificada_2026_postgrado_postitulo_CON_TITULOS.csv	.csv	5140	2026-05-21T21:37:00.751418-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/RUN_STATUS.json	RUN_STATUS.json	.json	878	2026-04-09T09:07:14.539768-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_exclusiones_pes_ready_20260508_230116.csv	auditoria_exclusiones_pes_ready_20260508_230116.csv	.csv	7261	2026-05-08T23:01:16.653157-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/simulacion_reparacion_sies_pendientes.tsv	simulacion_reparacion_sies_pendientes.tsv	.tsv	12492	2026-04-22T11:50:50.969274-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_FOR_ING_ACT_MODALIDAD_JOR_AUDITORIA_bkp_20260521_213650.xlsx	matricula_unificada_2026_postgrado_postitulo_FOR_ING_ACT_MODALIDAD_JOR_AUDITORIA_bkp_20260521_213650.xlsx	.xlsx	18017	2026-05-21T21:03:50.261579-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_confirmacion_vigencia_real_95_codcli.xlsx	auditoria_confirmacion_vigencia_real_95_codcli.xlsx	.xlsx	20202	2026-05-08T23:46:42.211889-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/nomina_codcli_vigentes_a_reincorporar_mu2026.csv	nomina_codcli_vigentes_a_reincorporar_mu2026.csv	.csv	24342	2026-05-08T23:40:43.960310-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_confirmacion_vigencia_real_95_codcli.csv	auditoria_confirmacion_vigencia_real_95_codcli.csv	.csv	34029	2026-05-08T23:46:42.182279-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/reporte_for_ing_act.json	reporte_for_ing_act.json	.json	985	2026-06-26T00:47:07.982553-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/MATRICULA_UNIFICADA_PREGRADO_CON_ENCABEZADOS_20260605_145918.xlsx	MATRICULA_UNIFICADA_PREGRADO_CON_ENCABEZADOS_20260605_145918.xlsx	.xlsx	848633	2026-06-05T14:59:19.798195-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/test_ruts_reparacion_sies.tsv	test_ruts_reparacion_sies.tsv	.tsv	499740	2026-04-22T12:00:42.179376-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/debug_comparacion_puente_vs_oferta_c3_j4 2.txt	debug_comparacion_puente_vs_oferta_c3_j4 2.txt	.txt	126	2026-04-27T10:32:40-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL_bkp_20260508_091648.csv	matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL_bkp_20260508_091648.csv	.csv	12241	2026-05-08T09:08:07.149287-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_puente_sies_mapa_cruces.tsv	auditoria_puente_sies_mapa_cruces.tsv	.tsv	84701	2026-04-22T10:32:24.003695-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_vigencia_0_codcli_mu2026_20260508_230520.csv	auditoria_vigencia_0_codcli_mu2026_20260508_230520.csv	.csv	28294	2026-05-08T23:05:20.905382-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/debug_compilador_puente_i_etmreol_netmre.tsv	debug_compilador_puente_i_etmreol_netmre.tsv	.tsv	1591	2026-04-22T12:48:17.761317-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/debug_alias_expansion_duracion.tsv	debug_alias_expansion_duracion.tsv	.tsv	3044	2026-04-22T14:35:55.249897-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_correcciones_pes_ready_20260508_230900.csv	auditoria_correcciones_pes_ready_20260508_230900.csv	.csv	137703	2026-05-08T23:09:00.485132-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/nomina_codcli_vigentes_a_reincorporar_mu2026.xlsx	nomina_codcli_vigentes_a_reincorporar_mu2026.xlsx	.xlsx	10110	2026-05-08T23:40:44.055573-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_CON_TITULOS_bkp_20260521_213650.csv	matricula_unificada_2026_postgrado_postitulo_CON_TITULOS_bkp_20260521_213650.csv	.csv	5282	2026-05-21T20:40:31.192950-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/solo_rut_dv_codigo_sies_final_resumen 2.txt	solo_rut_dv_codigo_sies_final_resumen 2.txt	.txt	191233	2026-04-27T10:32:40-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL.csv	matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL.csv	.csv	12281	2026-05-21T21:37:00.749277-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/reporte_calidad_semantica.json	reporte_calidad_semantica.json	.json	586	2026-06-26T00:47:07.982071-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL_bkp_20260521_213650.csv	matricula_unificada_2026_postgrado_postitulo_CONTROL_FINAL_bkp_20260521_213650.csv	.csv	12241	2026-05-08T09:23:18.187309-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/simulacion_reparacion_sies_resumen 2.txt	simulacion_reparacion_sies_resumen 2.txt	.txt	294	2026-04-27T10:32:40-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_avance_curricular_2025_control.csv	matricula_avance_curricular_2025_control.csv	.csv	279737	2026-05-08T23:09:02.630012-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/reconciliacion_66_a_54_postgrado_bkp_20260521_215748.csv	reconciliacion_66_a_54_postgrado_bkp_20260521_215748.csv	.csv	22256	2026-05-21T21:57:26.935641-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/matricula_unificada_2026_postgrado_postitulo_PES_READY.csv	matricula_unificada_2026_postgrado_postitulo_PES_READY.csv	.csv	4944	2026-05-21T21:37:00.750679-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/carreras_avance_curricular_2025_control.csv	carreras_avance_curricular_2025_control.csv	.csv	3009	2026-05-08T23:09:02.615157-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/test_ruts_reparacion_sies_resumen 2.txt	test_ruts_reparacion_sies_resumen 2.txt	.txt	277	2026-04-27T10:32:40-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_universo_real_postgrado_2026_bkp_20260521_221027.csv	auditoria_universo_real_postgrado_2026_bkp_20260521_221027.csv	.csv	33555	2026-05-21T22:08:47.348232-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/AUDITORIA_DEPURACION_RUT_CODCLI_2026P1_20260507_223158.xlsx	AUDITORIA_DEPURACION_RUT_CODCLI_2026P1_20260507_223158.xlsx	.xlsx	570225	2026-05-07T22:32:55.981863-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/probe_avance_parchado_v2_2026-04-04_fix_recovery/.DS_Store	.DS_Store		10244	2026-06-22T12:42:32.354777-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/04_comparacion_32_columnas.csv	04_comparacion_32_columnas.csv	.csv	42759	2026-06-18T12:58:39.294411-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/03_linea_tiempo_mu32.csv	03_linea_tiempo_mu32.csv	.csv	18477	2026-06-18T12:58:39.293646-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/AUDITORIA_END_TO_END_RUT_<ID_MASKED>xlsx	AUDITORIA_END_TO_END_RUT_<ID_MASKED>xlsx	.xlsx	232874	2026-06-18T12:58:39.526350-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/01_inventario_archivos.csv	01_inventario_archivos.csv	.csv	17658	2026-06-18T12:58:39.288283-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/.DS_Store	.DS_Store		6148	2026-06-22T12:42:32.317334-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/08_errores_lectura.csv	08_errores_lectura.csv	.csv	434	2026-06-18T12:58:39.306273-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/02_todos_los_hallazgos_rut_<ID_MASKED>csv	02_todos_los_hallazgos_rut_<ID_MASKED>csv	.csv	56990	2026-06-18T12:58:39.292470-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/07_alertas.csv	07_alertas.csv	.csv	858	2026-06-18T12:58:39.305917-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/06_codigo_relacionado.csv	06_codigo_relacionado.csv	.csv	887886	2026-06-18T12:58:39.305282-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/05_cambios_entre_etapas.csv	05_cambios_entre_etapas.csv	.csv	34039	2026-06-18T12:58:39.295161-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/diagnostico_codcli/DIAGNOSTICO_CODCLI_RUT_<ID_MASKED>xlsx	DIAGNOSTICO_CODCLI_RUT_<ID_MASKED>xlsx	.xlsx	76046	2026-06-18T13:01:27.336217-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/fase_fuente/01_FILAS_COMPLETAS_PROMEDIOS_RUT_<ID_MASKED>csv	01_FILAS_COMPLETAS_PROMEDIOS_RUT_<ID_MASKED>csv	.csv	8791	2026-06-18T13:00:10.355410-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_rut_<ID_MASKED>/fase_fuente/AUDITORIA_FUENTE_RUT_<ID_MASKED>xlsx	AUDITORIA_FUENTE_RUT_<ID_MASKED>xlsx	.xlsx	10997	2026-06-18T13:00:10.375555-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/.DS_Store	.DS_Store		6148	2026-06-22T12:42:32.311674-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/01_inventario.csv	01_inventario.csv	.csv	770	2026-06-18T12:56:53.928105-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/02_cardinalidad_por_rut.csv	02_cardinalidad_por_rut.csv	.csv	22014	2026-06-18T12:56:53.928937-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/04_diferencias_columna_por_columna.csv	04_diferencias_columna_por_columna.csv	.csv	24771	2026-06-18T12:56:53.930685-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/03_alertas_perdida_matricula.csv	03_alertas_perdida_matricula.csv	.csv	22024	2026-06-18T12:56:53.929871-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/05_resumen_por_rut.csv	05_resumen_por_rut.csv	.csv	6793	2026-06-18T12:56:53.931236-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2_rapida/AUDITORIA_RAPIDA_95_RUT.xlsx	AUDITORIA_RAPIDA_95_RUT.xlsx	.xlsx	42108	2026-06-18T12:56:54.218780-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_error_cruce_95/fase2/01_LOGICA_REAL_SCRIPTS.csv	01_LOGICA_REAL_SCRIPTS.csv	.csv	35	2026-06-18T12:55:54.172407-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_mu2026_bloque_01_cols_01_10_20260507_115052/resumen_validacion_bloque_01_cols_01_10.csv	resumen_validacion_bloque_01_cols_01_10.csv	.csv	1021	2026-05-07T11:50:52.111787-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_mu2026_bloque_01_cols_01_10_20260507_115052/perfil_columnas_bloque_01_cols_01_10.csv	perfil_columnas_bloque_01_cols_01_10.csv	.csv	788	2026-05-07T11:50:52.112137-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_mu2026_bloque_01_cols_01_10_20260507_115052/muestra_50_filas_bloque_01_cols_01_10.csv	muestra_50_filas_bloque_01_cols_01_10.csv	.csv	3204	2026-05-07T11:50:52.112632-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/matricula_avance_curricular_2025_control__bloque_cols_021_022.csv	matricula_avance_curricular_2025_control__bloque_cols_021_022.csv	.csv	216	2026-05-07T11:48:39.637511-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/auditoria_consolidacion_codcli__resumen_todas_las_columnas.csv	auditoria_consolidacion_codcli__resumen_todas_las_columnas.csv	.csv	1217	2026-05-07T11:48:40.044099-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/carreras_avance_curricular_2025_pes_ready__bloque_cols_011_020.csv	carreras_avance_curricular_2025_pes_ready__bloque_cols_011_020.csv	.csv	470	2026-05-07T11:48:39.538319-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/matricula_unificada_2026_pregrado__bloque_cols_001_001.csv	matricula_unificada_2026_pregrado__bloque_cols_001_001.csv	.csv	887	2026-05-07T11:48:37.850304-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/carreras_avance_curricular_2025_control__resumen_todas_las_columnas.csv	carreras_avance_curricular_2025_control__resumen_todas_las_columnas.csv	.csv	1095	2026-05-07T11:48:39.525915-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
resultados/auditoria_end_to_end_bloques_10cols_20260507_114837/carreras_avance_curricular_2025_pes_ready__muestra_20filas_cols_021_021.csv	carreras_avance_curricular_2025_pes_ready__muestra_20filas_cols_021_021.csv	.csv	75	2026-05-07T11:48:39.540869-04:00	TRACKED_OR_UNMODIFIED	resultado histórico o auditoría	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
