CODIGO_KPI,INDICADOR,DIMENSION,ANIO_PERIODO,VALOR,UNIDAD,SEMAFORO,PUBLICABILIDAD,OBSERVACION
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,2025,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,2026,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
EST_TASA_ROTACION,TASA_ROTACION,ESTABILIDAD,2022-2023,49.295775,%,GRIS,PUBLICABLE,KPI oficial congelado; nuevos no participan en la tasa.
EST_TASA_PERMANENCIA,TASA_PERMANENCIA,ESTABILIDAD,2022-2023,50.704225,%,GRIS,PUBLICABLE,Complemento descriptivo de permanencia.
EST_PERMANECEN,PERMANECEN,ESTABILIDAD,2022-2023,36,personas,GRIS,PUBLICABLE,Conteo agregado.
EST_ROTAN,ROTAN,ESTABILIDAD,2022-2023,35,personas,GRIS,PUBLICABLE,No equivale necesariamente a renuncia definitiva.
EST_NUEVOS,NUEVOS,ESTABILIDAD,2022-2023,34,personas,GRIS,PUBLICABLE,Los nuevos no participan en la tasa de rotación.
EST_TASA_ROTACION,TASA_ROTACION,ESTABILIDAD,2023-2024,44.285714,%,VERDE,PUBLICABLE,KPI oficial congelado; nuevos no participan en la tasa.
EST_TASA_PERMANENCIA,TASA_PERMANENCIA,ESTABILIDAD,2023-2024,55.714286,%,AMARILLO,PUBLICABLE,Complemento descriptivo de permanencia.
EST_PERMANECEN,PERMANECEN,ESTABILIDAD,2023-2024,39,personas,AMARILLO,PUBLICABLE,Conteo agregado.
EST_ROTAN,ROTAN,ESTABILIDAD,2023-2024,31,personas,AMARILLO,PUBLICABLE,No equivale necesariamente a renuncia definitiva.
EST_NUEVOS,NUEVOS,ESTABILIDAD,2023-2024,46,personas,AMARILLO,PUBLICABLE,Los nuevos no participan en la tasa de rotación.
EST_TASA_ROTACION,TASA_ROTACION,ESTABILIDAD,2024-2025,41.176471,%,VERDE,PUBLICABLE,KPI oficial congelado; nuevos no participan en la tasa.
EST_TASA_PERMANENCIA,TASA_PERMANENCIA,ESTABILIDAD,2024-2025,58.823529,%,AMARILLO,PUBLICABLE,Complemento descriptivo de permanencia.
EST_PERMANECEN,PERMANECEN,ESTABILIDAD,2024-2025,50,personas,AMARILLO,PUBLICABLE,Conteo agregado.
EST_ROTAN,ROTAN,ESTABILIDAD,2024-2025,35,personas,AMARILLO,PUBLICABLE,No equivale necesariamente a renuncia definitiva.
EST_NUEVOS,NUEVOS,ESTABILIDAD,2024-2025,74,personas,AMARILLO,PUBLICABLE,Los nuevos no participan en la tasa de rotación.
EST_TASA_ROTACION,TASA_ROTACION,ESTABILIDAD,2025-2026,17.741935,%,VERDE,PUBLICABLE,KPI oficial congelado; nuevos no participan en la tasa.
EST_TASA_PERMANENCIA,TASA_PERMANENCIA,ESTABILIDAD,2025-2026,82.258065,%,AMARILLO,PUBLICABLE,Complemento descriptivo de permanencia.
EST_PERMANECEN,PERMANECEN,ESTABILIDAD,2025-2026,102,personas,AMARILLO,PUBLICABLE,Conteo agregado.
EST_ROTAN,ROTAN,ESTABILIDAD,2025-2026,22,personas,AMARILLO,PUBLICABLE,No equivale necesariamente a renuncia definitiva.
EST_NUEVOS,NUEVOS,ESTABILIDAD,2025-2026,100,personas,AMARILLO,PUBLICABLE,Los nuevos no participan en la tasa de rotación.
