COMUNACOLEGIO_NORM	CIUDADCOLEGIO_NORM	PAIS	COD_PAIS_EST_SEC	ORIGEN
SAN ESTEBAN	LOS ANDES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN FABIAN	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN FELIPE	SAN FELIPE	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN FERNANDO	SAN FERNANDO	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN JAVIER	LINARES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN JOAQUIN	SAN JOAQUIN	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN JOAQUIN	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN JOSE DE MAIPO	PUENTE ALTO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN MIGUEL	SAN MIGUEL	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN MIGUEL	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN NICOLAS	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN PABLO	OSORNO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN PEDRO DE ATACAMA	CALAMA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN PEDRO DE LA PAZ	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN PEDRO DE LA PAZ	SAN PEDRO DE LA PAZ	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN RAMON	SAN RAMON	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN RAMON	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SANTA BARBARA	LOS ANGELES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SANTA CRUZ	SAN FERNANDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SANTA CRUZ	SANTA CRUZ	CHILE	38	Tabla negocio PAIS_EST_SEC
SANTA JUANA	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SANTIAGO	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SANTIAGO	SANTIAGO	CHILE	38	Tabla negocio PAIS_EST_SEC
SANTIAGO	VALDIVIA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TALAGANTE	TALAGANTE	CHILE	38	Tabla negocio PAIS_EST_SEC
TALCA	TALCA	CHILE	38	Tabla negocio PAIS_EST_SEC
TALCAHUANO	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TALCAHUANO	TALCAHUANO	CHILE	38	Tabla negocio PAIS_EST_SEC
TALTAL	ANTOFAGASTA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TEMUCO	TEMUCO	CHILE	38	Tabla negocio PAIS_EST_SEC
TENO	CURICO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TIERRA AMARILLA	COPIAPO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TIL TIL	COLINA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TOCOPILLA	TOCOPILLA	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
TOME	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TRAIGUEN	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
TUCAPEL	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VALDIVIA	VALDIVIA	CHILE	38	Tabla negocio PAIS_EST_SEC
VALLENAR	VALLENAR	CHILE	38	Tabla negocio PAIS_EST_SEC
VALPARAISO	VALPARAISO	CHILE	38	Tabla negocio PAIS_EST_SEC
VICTORIA	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VICUNA	LA SERENA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VILCUN	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VILLA ALEMANA	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VILLA ALEMANA	VILLA ALEMANA	CHILE	38	Tabla negocio PAIS_EST_SEC
VILLARRICA	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VINA DEL MAR	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
VINA DEL MAR	VINA DEL MAR	CHILE	38	Tabla negocio PAIS_EST_SEC
VITACURA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
YERBAS BUENAS	LINARES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
YUNGAY	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
		CHILE	38	DEFAULT_LOCALIDAD_NO_MAPEADA
